city,date,time,high,low,precipitation
San Francisco,02-02-2022,23:59:00,59,45,0.2
San Francisco,02-03-2022,23:59:00,59,45,0.11
San Francisco,02-04-2022,23:59:00,60,45,0.11
San Francisco,02-05-2022,23:59:00,59,45,0.05
San Francisco,02-06-2022,23:59:00,57,45,0.17
San Francisco,02-07-2022,23:59:00,58,46,0.17
San Francisco,02-08-2022,23:59:00,58,46,0.15
San Francisco,02-09-2022,23:59:00,59,45,0.09
San Francisco,02-10-2022,23:59:00,59,45,0.13
San Francisco,02-11-2022,23:59:00,59,46,0.13
San Francisco,02-12-2022,23:59:00,60,46,0.17
San Francisco,02-13-2022,23:59:00,60,47,0.16
San Francisco,02-14-2022,23:59:00,60,46,0.2
San Francisco,02-15-2022,23:59:00,59,46,0.31
San Francisco,02-16-2022,23:59:00,59,47,0.19
San Francisco,02-17-2022,23:59:00,60,47,0.22
San Francisco,02-18-2022,23:59:00,59,47,0.17
San Francisco,02-19-2022,23:59:00,60,47,0.24
San Francisco,02-20-2022,23:59:00,60,47,0.05
San Francisco,02-21-2022,23:59:00,61,47,0.14
San Francisco,02-22-2022,23:59:00,60,46,0.15
San Francisco,02-23-2022,23:59:00,59,46,0.1
San Francisco,02-24-2022,23:59:00,60,46,0.09
San Francisco,02-25-2022,23:59:00,60,46,0.12
San Francisco,02-26-2022,23:59:00,61,47,0.13
San Francisco,02-27-2022,23:59:00,61,48,0.14
San Francisco,02-28-2022,23:59:00,61,48,0.08
San Francisco,03-01-2022,23:59:00,60,48,0.11
San Francisco,03-02-2022,23:59:00,61,48,0.17
San Francisco,03-03-2022,23:59:00,60,47,0.13
San Francisco,03-04-2022,23:59:00,60,46,0.13
San Francisco,03-05-2022,23:59:00,60,47,0.13
San Francisco,03-06-2022,23:59:00,62,46,0.11
San Francisco,03-07-2022,23:59:00,62,47,0.06
San Francisco,03-08-2022,23:59:00,62,47,0.09
San Francisco,03-09-2022,23:59:00,62,47,0.07
San Francisco,03-10-2022,23:59:00,63,48,0.2
San Francisco,03-11-2022,23:59:00,63,48,0.07
San Francisco,03-12-2022,23:59:00,62,48,0.13
San Francisco,03-13-2022,23:59:00,62,48,0.09
San Francisco,03-14-2022,23:59:00,62,47,0.1
San Francisco,03-15-2022,23:59:00,62,47,0.08
San Francisco,03-16-2022,23:59:00,62,48,0.13
San Francisco,03-17-2022,23:59:00,62,48,0.09
San Francisco,03-18-2022,23:59:00,64,48,0.07
San Francisco,03-19-2022,23:59:00,63,49,0.02
San Francisco,03-20-2022,23:59:00,63,48,0.11
San Francisco,03-21-2022,23:59:00,61,49,0.06
San Francisco,03-22-2022,23:59:00,62,48,0.17
San Francisco,03-23-2022,23:59:00,62,48,0.11
San Francisco,03-24-2022,23:59:00,62,48,0.09
San Francisco,03-25-2022,23:59:00,62,48,0.1
San Francisco,03-26-2022,23:59:00,62,47,0.06
San Francisco,03-27-2022,23:59:00,64,47,0.07
San Francisco,03-28-2022,23:59:00,64,48,0.03
San Francisco,03-29-2022,23:59:00,64,47,0.04
San Francisco,03-30-2022,23:59:00,64,47,0.07
San Francisco,03-31-2022,23:59:00,64,48,0.11
San Francisco,04-01-2022,23:59:00,64,48,0.04
San Francisco,04-02-2022,23:59:00,63,48,0.06
San Francisco,04-03-2022,23:59:00,63,48,0.05
San Francisco,04-04-2022,23:59:00,63,48,0.06
San Francisco,04-05-2022,23:59:00,63,48,0.03
San Francisco,04-06-2022,23:59:00,64,49,0.03
San Francisco,04-07-2022,23:59:00,63,48,0.03
San Francisco,04-08-2022,23:59:00,63,48,0.05
San Francisco,04-09-2022,23:59:00,64,48,0.02
San Francisco,04-10-2022,23:59:00,64,49,0.06
San Francisco,04-11-2022,23:59:00,64,49,0.09
San Francisco,04-12-2022,23:59:00,65,48,0.11
San Francisco,04-13-2022,23:59:00,66,48,0.02
San Francisco,04-14-2022,23:59:00,65,48,0.02
San Francisco,04-15-2022,23:59:00,64,48,0.02
San Francisco,04-16-2022,23:59:00,64,50,0.06
San Francisco,04-17-2022,23:59:00,63,50,0.04
San Francisco,04-18-2022,23:59:00,64,49,0.04
San Francisco,04-19-2022,23:59:00,66,49,0.07
San Francisco,04-20-2022,23:59:00,65,50,0.06
San Francisco,04-21-2022,23:59:00,66,50,0.02
San Francisco,04-22-2022,23:59:00,65,50,0.04
San Francisco,04-23-2022,23:59:00,65,50,0.04
San Francisco,04-24-2022,23:59:00,64,50,0.03
San Francisco,04-25-2022,23:59:00,66,49,0.03
San Francisco,04-26-2022,23:59:00,67,49,0
San Francisco,04-27-2022,23:59:00,68,49,0.03
San Francisco,04-28-2022,23:59:00,67,50,0.04
San Francisco,04-29-2022,23:59:00,67,50,0.01
San Francisco,04-30-2022,23:59:00,66,50,0.04
San Francisco,05-01-2022,23:59:00,67,50,0.02
San Francisco,05-02-2022,23:59:00,67,51,0.02
San Francisco,05-03-2022,23:59:00,66,51,0.02
San Francisco,05-04-2022,23:59:00,67,51,0.03
San Francisco,05-05-2022,23:59:00,67,50,0.02
San Francisco,05-06-2022,23:59:00,67,50,0.03
San Francisco,05-07-2022,23:59:00,68,51,0.03
San Francisco,05-08-2022,23:59:00,67,51,0.01
San Francisco,05-09-2022,23:59:00,66,50,0.01
San Francisco,05-10-2022,23:59:00,67,50,0.01
San Francisco,05-11-2022,23:59:00,67,50,0
San Francisco,05-12-2022,23:59:00,67,50,0.02
San Francisco,05-13-2022,23:59:00,67,51,0.01
San Francisco,05-14-2022,23:59:00,67,51,0.01
San Francisco,05-15-2022,23:59:00,68,52,0.04
San Francisco,05-16-2022,23:59:00,68,52,0.01
San Francisco,05-17-2022,23:59:00,68,52,0.02
San Francisco,05-18-2022,23:59:00,67,51,0.01
San Francisco,05-19-2022,23:59:00,69,52,0.01
San Francisco,05-20-2022,23:59:00,68,52,0.01
San Francisco,05-21-2022,23:59:00,68,52,0.01
San Francisco,05-22-2022,23:59:00,69,51,0
San Francisco,05-23-2022,23:59:00,69,52,0.01
San Francisco,05-24-2022,23:59:00,69,52,0
San Francisco,05-25-2022,23:59:00,67,52,0
San Francisco,05-26-2022,23:59:00,67,52,0.01
San Francisco,05-27-2022,23:59:00,67,53,0.06
San Francisco,05-28-2022,23:59:00,68,52,0.02
San Francisco,05-29-2022,23:59:00,68,52,0.01
San Francisco,05-30-2022,23:59:00,70,53,0.02
San Francisco,05-31-2022,23:59:00,70,53,0
San Francisco,06-01-2022,23:59:00,70,53,0
San Francisco,06-02-2022,23:59:00,69,53,0.01
San Francisco,06-03-2022,23:59:00,68,53,0.01
San Francisco,06-04-2022,23:59:00,68,53,0.01
San Francisco,06-05-2022,23:59:00,70,53,0
San Francisco,06-06-2022,23:59:00,69,53,0.02
San Francisco,06-07-2022,23:59:00,68,53,0
San Francisco,06-08-2022,23:59:00,69,52,0
San Francisco,06-09-2022,23:59:00,70,53,0.01
San Francisco,06-10-2022,23:59:00,70,53,0
San Francisco,06-11-2022,23:59:00,68,53,0
San Francisco,06-12-2022,23:59:00,69,53,0
San Francisco,06-13-2022,23:59:00,72,53,0
San Francisco,06-14-2022,23:59:00,72,54,0
San Francisco,06-15-2022,23:59:00,70,54,0.01
San Francisco,06-16-2022,23:59:00,71,54,0.01
San Francisco,06-17-2022,23:59:00,72,54,0
San Francisco,06-18-2022,23:59:00,71,54,0
San Francisco,06-19-2022,23:59:00,71,54,0
San Francisco,06-20-2022,23:59:00,72,54,0
San Francisco,06-21-2022,23:59:00,73,54,0
San Francisco,06-22-2022,23:59:00,73,54,0
San Francisco,06-23-2022,23:59:00,70,53,0
San Francisco,06-24-2022,23:59:00,72,54,0
San Francisco,06-25-2022,23:59:00,73,54,0
San Francisco,06-26-2022,23:59:00,72,54,0
San Francisco,06-27-2022,23:59:00,73,55,0
San Francisco,06-28-2022,23:59:00,71,55,0.01
San Francisco,06-29-2022,23:59:00,71,55,0.01
San Francisco,06-30-2022,23:59:00,72,55,0
San Francisco,07-01-2022,23:59:00,73,55,0
San Francisco,07-02-2022,23:59:00,71,55,0
San Francisco,07-03-2022,23:59:00,72,54,0
San Francisco,07-04-2022,23:59:00,72,54,0
San Francisco,07-05-2022,23:59:00,71,54,0
San Francisco,07-06-2022,23:59:00,72,54,0
San Francisco,07-07-2022,23:59:00,72,54,0
San Francisco,07-08-2022,23:59:00,73,55,0
San Francisco,07-09-2022,23:59:00,73,55,0
San Francisco,07-10-2022,23:59:00,72,55,0
San Francisco,07-11-2022,23:59:00,72,55,0
San Francisco,07-12-2022,23:59:00,74,56,0
San Francisco,07-13-2022,23:59:00,74,55,0
San Francisco,07-14-2022,23:59:00,72,56,0
San Francisco,07-15-2022,23:59:00,73,55,0
San Francisco,07-16-2022,23:59:00,71,55,0
San Francisco,07-17-2022,23:59:00,72,55,0
San Francisco,07-18-2022,23:59:00,73,56,0
San Francisco,07-19-2022,23:59:00,72,56,0
San Francisco,07-20-2022,23:59:00,72,56,0
San Francisco,07-21-2022,23:59:00,70,56,0
San Francisco,07-22-2022,23:59:00,72,56,0
San Francisco,07-23-2022,23:59:00,72,56,0
San Francisco,07-24-2022,23:59:00,72,56,0
San Francisco,07-25-2022,23:59:00,72,55,0
San Francisco,07-26-2022,23:59:00,72,55,0
San Francisco,07-27-2022,23:59:00,71,55,0
San Francisco,07-28-2022,23:59:00,70,56,0
San Francisco,07-29-2022,23:59:00,71,56,0
San Francisco,07-30-2022,23:59:00,72,55,0
San Francisco,07-31-2022,23:59:00,72,56,0
San Francisco,08-01-2022,23:59:00,73,56,0
San Francisco,08-02-2022,23:59:00,73,56,0
San Francisco,08-03-2022,23:59:00,72,56,0
San Francisco,08-04-2022,23:59:00,72,56,0
San Francisco,08-05-2022,23:59:00,72,56,0
San Francisco,08-06-2022,23:59:00,74,56,0
San Francisco,08-07-2022,23:59:00,73,56,0
San Francisco,08-08-2022,23:59:00,73,56,0
San Francisco,08-09-2022,23:59:00,74,56,0
San Francisco,08-10-2022,23:59:00,73,56,0
San Francisco,08-11-2022,23:59:00,72,56,0
San Francisco,08-12-2022,23:59:00,73,56,0
San Francisco,08-13-2022,23:59:00,73,56,0.01
San Francisco,08-14-2022,23:59:00,71,56,0
San Francisco,08-15-2022,23:59:00,72,56,0
San Francisco,08-16-2022,23:59:00,72,55,0
San Francisco,08-17-2022,23:59:00,72,56,0
San Francisco,08-18-2022,23:59:00,71,56,0
San Francisco,08-19-2022,23:59:00,71,56,0.02
San Francisco,08-20-2022,23:59:00,71,56,0
San Francisco,08-21-2022,23:59:00,72,56,0
San Francisco,08-22-2022,23:59:00,73,56,0
San Francisco,08-23-2022,23:59:00,72,56,0
San Francisco,08-24-2022,23:59:00,73,56,0
San Francisco,08-25-2022,23:59:00,73,56,0
San Francisco,08-26-2022,23:59:00,74,56,0
San Francisco,08-27-2022,23:59:00,75,56,0
San Francisco,08-28-2022,23:59:00,74,57,0
San Francisco,08-29-2022,23:59:00,73,57,0.01
San Francisco,08-30-2022,23:59:00,73,57,0
San Francisco,08-31-2022,23:59:00,75,56,0
San Francisco,09-01-2022,23:59:00,74,56,0
San Francisco,09-02-2022,23:59:00,76,56,0
San Francisco,09-03-2022,23:59:00,74,56,0
San Francisco,09-04-2022,23:59:00,75,56,0
San Francisco,09-05-2022,23:59:00,76,56,0
San Francisco,09-06-2022,23:59:00,75,56,0
San Francisco,09-07-2022,23:59:00,75,56,0
San Francisco,09-08-2022,23:59:00,73,56,0.01
San Francisco,09-09-2022,23:59:00,72,56,0
San Francisco,09-10-2022,23:59:00,73,55,0
San Francisco,09-11-2022,23:59:00,74,56,0
San Francisco,09-12-2022,23:59:00,73,56,0
San Francisco,09-13-2022,23:59:00,73,56,0.01
San Francisco,09-14-2022,23:59:00,71,56,0
San Francisco,09-15-2022,23:59:00,71,56,0
San Francisco,09-16-2022,23:59:00,71,55,0.03
San Francisco,09-17-2022,23:59:00,74,56,0.02
San Francisco,09-18-2022,23:59:00,74,55,0
San Francisco,09-19-2022,23:59:00,75,55,0
San Francisco,09-20-2022,23:59:00,75,55,0
San Francisco,09-21-2022,23:59:00,74,55,0
San Francisco,09-22-2022,23:59:00,73,55,0.01
San Francisco,09-23-2022,23:59:00,72,55,0.02
San Francisco,09-24-2022,23:59:00,74,55,0.01
San Francisco,09-25-2022,23:59:00,73,55,0.02
San Francisco,09-26-2022,23:59:00,75,56,0.01
San Francisco,09-27-2022,23:59:00,73,56,0
San Francisco,09-28-2022,23:59:00,72,55,0.01
San Francisco,09-29-2022,23:59:00,74,55,0
San Francisco,09-30-2022,23:59:00,73,55,0.02
San Francisco,10-01-2022,23:59:00,70,55,0
San Francisco,10-02-2022,23:59:00,71,55,0.01
San Francisco,10-03-2022,23:59:00,72,54,0
San Francisco,10-04-2022,23:59:00,73,55,0.02
San Francisco,10-05-2022,23:59:00,74,55,0
San Francisco,10-06-2022,23:59:00,73,54,0
San Francisco,10-07-2022,23:59:00,73,54,0.01
San Francisco,10-08-2022,23:59:00,74,54,0
San Francisco,10-09-2022,23:59:00,73,54,0.03
San Francisco,10-10-2022,23:59:00,72,54,0.04
San Francisco,10-11-2022,23:59:00,70,53,0
San Francisco,10-12-2022,23:59:00,71,53,0.05
San Francisco,10-13-2022,23:59:00,72,53,0.1
San Francisco,10-14-2022,23:59:00,72,53,0
San Francisco,10-15-2022,23:59:00,70,53,0.01
San Francisco,10-16-2022,23:59:00,71,53,0.03
San Francisco,10-17-2022,23:59:00,72,52,0.01
San Francisco,10-18-2022,23:59:00,70,52,0
San Francisco,10-19-2022,23:59:00,69,52,0.07
San Francisco,10-20-2022,23:59:00,69,52,0.03
San Francisco,10-21-2022,23:59:00,70,52,0.01
San Francisco,10-22-2022,23:59:00,70,53,0
San Francisco,10-23-2022,23:59:00,70,53,0.06
San Francisco,10-24-2022,23:59:00,71,53,0.05
San Francisco,10-25-2022,23:59:00,70,53,0.07
San Francisco,10-26-2022,23:59:00,69,52,0.11
San Francisco,10-27-2022,23:59:00,68,52,0.07
San Francisco,10-28-2022,23:59:00,67,52,0.05
San Francisco,10-29-2022,23:59:00,66,52,0.08
San Francisco,10-30-2022,23:59:00,66,51,0.02
San Francisco,10-31-2022,23:59:00,68,51,0.01
San Francisco,11-01-2022,23:59:00,68,50,0.05
San Francisco,11-02-2022,23:59:00,67,51,0.02
San Francisco,11-03-2022,23:59:00,68,51,0.01
San Francisco,11-04-2022,23:59:00,67,50,0
San Francisco,11-05-2022,23:59:00,66,50,0.07
San Francisco,11-06-2022,23:59:00,66,51,0.05
San Francisco,11-07-2022,23:59:00,66,51,0.14
San Francisco,11-08-2022,23:59:00,64,50,0.1
San Francisco,11-09-2022,23:59:00,63,49,0.05
San Francisco,11-10-2022,23:59:00,64,50,0.15
San Francisco,11-11-2022,23:59:00,64,49,0.04
San Francisco,11-12-2022,23:59:00,64,49,0.15
San Francisco,11-13-2022,23:59:00,63,49,0.16
San Francisco,11-14-2022,23:59:00,64,49,0.03
San Francisco,11-15-2022,23:59:00,63,49,0.05
San Francisco,11-16-2022,23:59:00,63,49,0.1
San Francisco,11-17-2022,23:59:00,63,50,0.11
San Francisco,11-18-2022,23:59:00,62,48,0.09
San Francisco,11-19-2022,23:59:00,62,48,0.05
San Francisco,11-20-2022,23:59:00,61,47,0.06
San Francisco,11-21-2022,23:59:00,60,47,0.04
San Francisco,11-22-2022,23:59:00,60,47,0.05
San Francisco,11-23-2022,23:59:00,60,47,0.07
San Francisco,11-24-2022,23:59:00,60,46,0.17
San Francisco,11-25-2022,23:59:00,60,47,0.12
San Francisco,11-26-2022,23:59:00,59,46,0.07
San Francisco,11-27-2022,23:59:00,59,47,0.1
San Francisco,11-28-2022,23:59:00,60,46,0.1
San Francisco,11-29-2022,23:59:00,59,46,0.11
San Francisco,11-30-2022,23:59:00,59,46,0.09
San Francisco,12-01-2022,23:59:00,59,45,0.11
San Francisco,12-02-2022,23:59:00,59,45,0.11
San Francisco,12-03-2022,23:59:00,59,46,0.04
San Francisco,12-04-2022,23:59:00,58,45,0.07
San Francisco,12-05-2022,23:59:00,59,46,0.08
San Francisco,12-06-2022,23:59:00,59,47,0.13
San Francisco,12-07-2022,23:59:00,59,46,0.13
San Francisco,12-08-2022,23:59:00,59,46,0.14
San Francisco,12-09-2022,23:59:00,60,47,0.16
San Francisco,12-10-2022,23:59:00,58,46,0.14
San Francisco,12-11-2022,23:59:00,58,45,0.19
San Francisco,12-12-2022,23:59:00,57,45,0.12
San Francisco,12-13-2022,23:59:00,57,46,0.14
San Francisco,12-14-2022,23:59:00,57,45,0.14
San Francisco,12-15-2022,23:59:00,56,44,0.1
San Francisco,12-16-2022,23:59:00,56,44,0.1
San Francisco,12-17-2022,23:59:00,57,43,0.12
San Francisco,12-18-2022,23:59:00,57,44,0.13
San Francisco,12-19-2022,23:59:00,56,44,0.18
San Francisco,12-20-2022,23:59:00,55,44,0.11
San Francisco,12-21-2022,23:59:00,54,43,0.18
San Francisco,12-22-2022,23:59:00,54,43,0.16
San Francisco,12-23-2022,23:59:00,55,41,0.02
San Francisco,12-24-2022,23:59:00,55,42,0.13
San Francisco,12-25-2022,23:59:00,54,41,0.09
San Francisco,12-26-2022,23:59:00,55,43,0.1
San Francisco,12-27-2022,23:59:00,55,43,0.15
San Francisco,12-28-2022,23:59:00,55,44,0.24
San Francisco,12-29-2022,23:59:00,55,44,0.3
San Francisco,12-30-2022,23:59:00,55,44,0.1
San Francisco,12-31-2022,23:59:00,55,45,0.12
