Episode;Episode title;KAY;Description
1;Roller Coaster Murder Case;MAIN PLOT;Introduction of main characters (Conan/Shinichi, Ran, Kogoro, Agasa, Megure, Gin, Vodka) and initial setup.
2;Company President's Daughter Kidnapping Case (Remastered);MAIN PLOT;Introduction of main characters (Conan/Shinichi, Ran, Kogoro, Agasa, Megure, Gin, Vodka) and initial setup.
3;An Idol's Locked Room Murder Case;MANGA CANON;Character development and introduction of new elements.
4;The Coded Map of the City Case;MANGA CANON;First focus episode for Mitsuhiko, Ayumi, and Genta.
5;The Fated Blue Birthday (TV Special);MANGA CANON;Minor character development and setup for episode 7.
6;Episode One: The Great Detective Turned Small (TV Special);FILLER;FILLER
7;Love Story at Police Headquarters ~Wedding Eve~ (TV Special);MAIN PLOT;"Main character development; Ran comes close to discovering Conan's identity."
8;The Secret of the Red Tear (TV Special);FILLER;FILLER
9;Tenkaichi Night Festival Murder Case (Remastered);FILLER;FILLER
10;Pro Soccer Player Blackmail Case;MANGA CANON;Introduction of recurring minor elements.
11;Moonlight Sonata Murder Case (1 Hour Special) (Rerun);MANGA CANON;Events referenced in later character development (episodes 77-78). (1 Hour Special)
12;Tears of Love for the Dark Knight (TV Special);MANGA CANON;Introduction of turbo skateboard, detective badge, and formation of the Detective Boys.
13;The Strange Person Hunt Murder Case;MAIN PLOT;Introduction of Miyano Akemi.
14;The Mysterious Shooting Message Case;FILLER;FILLER
15;Missing Corpse Murder Case;FILLER;FILLER
16;The Antique Collector Murder Case;FILLER;FILLER
17;Hijacked Department Store Case;FILLER;FILLER
18;A June Bride Murder Case;MANGA CANON;Introduction of Superintendent Matsumoto.
19;An Elevator Murder Case;FILLER;FILLER
20;A Haunted Mansion Murder Case;MANGA CANON;"Introduction of the Elasticity Suspenders; first introduction of the Detective Boys in the manga."
21;On Location, TV Drama Murder Case;FILLER;FILLER
22;Luxury Liner Serial Murder Case (Part 1);FILLER;FILLER
23;Luxury Liner Serial Murder Case (Part 2) (Remastered);FILLER;FILLER
24;The Mysterious Woman With Amnesia Case;FILLER;FILLER
25;The False Kidnapping and Hostage Case;FILLER;FILLER
26;Pet Dog John Murder Case;FILLER;FILLER
27;Kogoro's Class Reunion Murder Case (Part 1);MANGA CANON;Character development for Mōri Kogorō.
28;Kogoro's Class Reunion Murder Case (Part 2) (Remastered);MANGA CANON;Character development for Mōri Kogorō.
29;Computer Murder Case;FILLER;FILLER
30;Alibi Testimony Murder Case;FILLER;FILLER
31;TV Station Murder Case (Remastered);FILLER;FILLER
32;Coffee Shop Murder Case;MANGA CANON;Introduces Kisaki Eri, Ran’s mom.
33;Detective Boys Survival Case;FILLER;FILLER
34;Mountain Villa Bandaged Man Murder Case (Part 1);MANGA CANON;Suzuki Sonoko development. This case was her first appearance in the manga.
35;Mountain Villa Bandaged Man Murder Case (Part 2);MANGA CANON;Suzuki Sonoko development. This case was her first appearance in the manga.
36;Monday Night 7:30 p.m. Murder Case;FILLER;FILLER
37;Cactus's Flower Murder Case (Remastered);FILLER;FILLER
38;Akaoni Village Fire Festival Murder Case (Remastered);FILLER;FILLER
39;Wealthy Daughter Murder Case (Part 1);FILLER;FILLER
40;Wealthy Daughter Murder Case (Part 2) (Remastered);FILLER;FILLER
41;Victory Flag Tearing Case;FILLER;FILLER
42;Karaoke Box Murder Case (Remastered);FILLER;FILLER
43;Conan Edogawa Kidnapping Case (Remastered);MAIN PLOT;Introduces two characters who will have central roles in many main plot events. Also has some Black Organization reference.
44;Three Hotta Siblings Murder Case;FILLER;FILLER
45;Facial Mask Murder Case (Remastered);FILLER;FILLER
46;Alpine Hut in the Snowy Mountain Murder Case (Remastered);FILLER;FILLER
47;Sports Club Murder Case (Remastered);FILLER;FILLER
48;Diplomat Murder Case (Part 1);MAIN PLOT;Introduces Hattori Heiji. This also marks the first time Conan manages to temporarily return to his original body.
49;Diplomat Murder Case (Part 2);MAIN PLOT;Introduces Hattori Heiji. This also marks the first time Conan manages to temporarily return to his original body.
50;Library Murder Case;MAIN PLOT;Introduces Hattori Heiji. This also marks the first time Conan manages to temporarily return to his original body.
51;The Golf Driving Range Murder Case;FILLER;FILLER
52;The Mist Goblin Legend Murder Case (1 Hour Special) (Rerun);FILLER;FILLER
53;The Mystery Weapon Murder Case;FILLER;FILLER
54;Game Company Murder Case;MAIN PLOT;Some Black Organization stuff.
55;The Train Trick Murder Case;FILLER;FILLER
56;The Ojamanbou Murder Case;FILLER;FILLER
57;Holmes Freak Murder Case (Part 1) (Remastered);MAIN PLOT;Hattori Heiji major development.
58;Holmes Freak Murder Case (Part 2);MAIN PLOT;Hattori Heiji major development.
59;The First Errand Murder Case;FILLER;FILLER
60;An Illustrator Murder Case;FILLER;FILLER
61;A Ghost Ship Murder Case (Part 1);FILLER;FILLER
62;A Ghost Ship Murder Case (Part 2);FILLER;FILLER
63;Big Monster Gomera Murder Case (Remastered);FILLER;FILLER
64;The Third Fingerprint Murder Case;FILLER;FILLER
65;A Crab and Whale Kidnapping Case;FILLER;FILLER
66;Night Road Murder Case;FILLER;FILLER
67;Stage Actress Murder Case;FILLER;FILLER
68;Night Baron Murder Case (The Case) (Remastered);FILLER;FILLER
69;Night Baron Murder Case (The Suspicion);FILLER;FILLER
70;Night Baron Murder Case (The Resolution);FILLER;FILLER
71;A Stalker's Murder Case;FILLER;FILLER
72;The Triplet's Country Home Murder Case;FILLER;FILLER
73;The Detective Boys' Disaster Case;FILLER;FILLER
74;The Death God Jinnai Murder Case;FILLER;FILLER
75;Loan Company President's Murder Case (Remastered);FILLER;FILLER
76;Conan vs. Kaitou Kid (1 Hour Special) (Remastered);MANGA CANON;First appearance of Kaitō Kid in Detective Conan. (1 Hour Special)
77;Distinguished Family's Consecutive Accidental Death Case (Part 1);MANGA CANON;Heiji case. Some Conan development.
78;Distinguished Family's Consecutive Accidental Death Case (Part 2);MANGA CANON;Heiji case. Some Conan development.
79;The Bank Heist Murder Case (Remastered);FILLER;FILLER
80;The Wandering Artist Murder Case (Remastered);FILLER;FILLER
81;The Kidnapping of a Popular Artist Case (Part 1);MANGA CANON;Voice actor references galore.
82;The Kidnapping of a Popular Artist Case (Part 2);MANGA CANON;Voice actor references galore.
83;General Hospital Murder Case;FILLER;FILLER
84;Ski Lodge Murder Case (Part 1);FILLER;FILLER
85;Ski Lodge Murder Case (Part 2);FILLER;FILLER
86;The Kidnapping Location Case;FILLER;FILLER
87;The Crane's Return of a Favor Murder Case;FILLER;FILLER
88;Dracula's Villa Murder Case (Part 1);FILLER;FILLER
89;Dracula's Villa Murder Case (Part 2);FILLER;FILLER
90;The Flower Scent Murder Case;FILLER;FILLER
91;The Bank Robber's Hospitalization Case (Remastered);FILLER;FILLER
92;The Fearful Traversing Murder Case (Part 1);FILLER;FILLER
93;The Fearful Traversing Murder Case (Part 2);FILLER;FILLER
94;Snow Woman's Legend Murder Case;FILLER;FILLER
95;Kogoro's Date Murder Case;FILLER;FILLER
96;The Cornered Famous Detective! Two Big Murder Cases (2 Hour Special);MANGA CANON;Main character development. (2 Hour Special)
97;The Farewell Wine Murder Case;FILLER;FILLER
98;The Famous Potter Murder Case (Part 1) (Remastered);FILLER;FILLER
99;The Famous Potter Murder Case (Part 2);FILLER;FILLER
100;The Memories of First Love Case (Part 1) (Remastered);MANGA CANON;Shinichi case. Main character development.
101;The Memories of First Love Case (Part 2) (Remastered);MANGA CANON;Shinichi case. Main character development.
102;The Historical Actor Murder Case (Part 1) (Remastered);FILLER;FILLER
103;The Historical Actor Murder Case (Part 2) (Remastered);FILLER;FILLER
104;The Mysterious Mansion of a Band of Thieves Case (Part 1);FILLER;FILLER
105;The Mysterious Mansion of a Band of Thieves Case (Part 2);FILLER;FILLER
106;Scoop Picture Murder Case;FILLER;FILLER
107;The Mysterious Mole Alien Case (Part 1) (Remastered);FILLER;FILLER
108;The Mysterious Mole Alien Case (Part 2) (Remastered);FILLER;FILLER
109;Detective Club Pursuit Case;FILLER;FILLER
110;Cooking Classroom Murder Case (Part 1);FILLER;FILLER
111;Cooking Classroom Murder Case (Part 2);FILLER;FILLER
112;The Seven Mysteries of Teitan Elementary School Case (Remastered);FILLER;FILLER
113;The White Sandy Beach Murder Case;FILLER;FILLER
114;Scuba Diving Murder Case (Part 1);FILLER;FILLER
115;Scuba Diving Murder Case (Part 2);FILLER;FILLER
116;The Mystery Writer Disappearance Case (Part 1);FILLER;FILLER
117;The Mystery Writer Disappearance Case (Part 2);FILLER;FILLER
118;The Naniwa Serial Murder Case (1 Hour Special);MANGA CANON;Heiji case. Introduces Tōyama Kazuha. Builds on the Conan development throughline from 11 and 77-79. (1 Hour Special)
119;The Kamen Yaiba Murder Case;FILLER;FILLER
120;A Honey Cocktail Murder Case;FILLER;FILLER
121;The Locked Bathroom Murder Case (Part 1);FILLER;FILLER
122;The Locked Bathroom Murder Case (Part 2);FILLER;FILLER
123;The Weather Girl Kidnapping Case;FILLER;FILLER
124;A Mysterious Sniper Murder Case (Part 1);FILLER;FILLER
125;A Mysterious Sniper Murder Case (Part 2);FILLER;FILLER
126;The Traveling Drama Troupe Murder Case (Part 1);FILLER;FILLER
127;The Traveling Drama Troupe Murder Case (Part 2);FILLER;FILLER
128;The Black Organization: One Billion Yen Robbery Case;MAIN PLOT;“The Black Organization: One Billion Yen Robbery Case”
129;The Girl from the Black Organization and the University Professor Murder Case (2 Hour Special);MAIN PLOT;Introduces Haibara Ai, possibly the second most central character to the overall plot after Conan himself. (2 Hour Special)
130;The Indiscriminate Stadium Threatening Case (Part 1) (Remastered);MANGA CANON;Introduces Satō Miwako.
131;The Indiscriminate Stadium Threatening Case (Part 2) (Remastered);MANGA CANON;Introduces Satō Miwako.
132;Magic Lover's Murder Case (The Case);MANGA CANON;Kaitō Kid.
133;Magic Lover's Murder Case (The Suspicion);MANGA CANON;Kaitō Kid.
134;Magic Lover's Murder Case (The Resolution);MANGA CANON;Kaitō Kid.
135;The Disappearing Weapon Search Case;FILLER;FILLER
136;The Old Blue Castle Investigation Case (Part 1) (Remastered);MANGA CANON;Character development.
137;The Old Blue Castle Investigation Case (Part 2) (Remastered);MANGA CANON;Character development.
138;The Final Screening Murder Case (Part 1);FILLER;FILLER
139;The Final Screening Murder Case (Part 2);FILLER;FILLER
140;SOS! Messages from Ayumi;FILLER;FILLER
141;The Night Before the Wedding Locked Room Case (Part 1);MANGA CANON;Heiji case.
142;The Night Before the Wedding Locked Room Case (Part 2);MANGA CANON;Heiji case.
143;The Suspicious Astronomical Observation (Remastered);FILLER;FILLER
144;The North Star No.3 Express Leaving Ueno (Part 1);FILLER;FILLER
145;The North Star No.3 Express Leaving Ueno (Part 2);FILLER;FILLER
146;Metropolitan Police Detective Love Story (Part 1);MANGA CANON;“Metropolitan Police Detective Love Story”—Also introduces Miyamoto Yumi.
147;Metropolitan Police Detective Love Story (Part 2);MANGA CANON;“Metropolitan Police Detective Love Story”—Also introduces Miyamoto Yumi.
148;The Streetcar's Sudden Stopping Case;FILLER;FILLER
149;The Amusement Park Bungee Jumping Case;FILLER;FILLER
150;The Truth Behind the Car Explosion Case (Part 1);FILLER;FILLER
151;The Truth Behind the Car Explosion Case (Part 2);FILLER;FILLER
152;The Mysterious Old Man Disappearance Case;FILLER;FILLER
153;Sonoko's Dangerous Summer Story (Part 1);MANGA CANON;Introduces Kyōgoku Makoto.
154;Sonoko's Dangerous Summer Story (Part 2) (Remastered);MANGA CANON;Introduces Kyōgoku Makoto.
155;Underwater Key in the Locked Room Case;FILLER;FILLER
156;Metropolitan Police Detective Love Story 2 (Part 1);MANGA CANON;“Metropolitan Police Detective Love Story 2”
157;Metropolitan Police Detective Love Story 2 (Part 2);MANGA CANON;“Metropolitan Police Detective Love Story 2”
158;The Silent Loop Line;FILLER;FILLER
159;The Legend of the Mysterious Five Storied Pagoda (Part 1);FILLER;FILLER
160;The Legend of the Mysterious Five Storied Pagoda (Part 2);FILLER;FILLER
161;The Murder Floating in the Water Stream Restaurant;FILLER;FILLER
162;The Locked Room in the Sky: Shinichi Kudo's First Case (1 Hour Special);MANGA CANON;“The Locked Room in the Sky: Kudō Shinichi’s First Case” (1 Hour Special)
163;The Secret of the Moon, the Star, and the Sun (Part 1);FILLER;FILLER
164;The Secret of the Moon, the Star, and the Sun (Part 2);FILLER;FILLER
165;The Disappearing Detective Boys Case;FILLER;FILLER
166;Tottori Spider Mansion Demon (The Case);MANGA CANON;Heiji case.
167;Tottori Spider Mansion Demon (The Suspicion);MANGA CANON;Heiji case.
168;Tottori Spider Mansion Demon (The Resolution);MANGA CANON;Heiji case.
169;Venus' Kiss;FILLER;FILLER
170;The Blind Spot in the Darkness (Part 1);MAIN PLOT;Introduces Araide Tomoaki. He doesn’t really do much for now, but he becomes extremely important later on.
171;The Blind Spot in the Darkness (Part 2);MAIN PLOT;Introduces Araide Tomoaki. He doesn’t really do much for now, but he becomes extremely important later on.
172;The Revival of the Dying Message (Part 1);FILLER;FILLER
173;The Revival of the Dying Message (Part 2);FILLER;FILLER
174;The Twenty Year Old Murderous Intent: The Symphony Serial Murder Case (2 Hour Special);MANGA CANON;Heiji case. (2 Hour Special)
175;The Man Who Was Killed Four Times;FILLER;FILLER
176;Reunion with the Black Organization (Haibara);MAIN PLOT;"""Reunion with the Black Organization"""
177;Reunion with the Black Organization (Conan);MAIN PLOT;"""Reunion with the Black Organization"""
178;Reunion with the Black Organization (The Resolution);MAIN PLOT;"""Reunion with the Black Organization"""
179;The Coffee Shop Truck's Wild Entrance Case;FILLER;FILLER
180;The Nocturne of Red Murderous Intent (Part 1);FILLER;FILLER
181;The Nocturne of Red Murderous Intent (Part 2);FILLER;FILLER
182;The Big Investigation of the Nine Doors (Remastered);FILLER;FILLER
183;A Dangerous Recipe;FILLER;FILLER
184;A Cursed Mask Coldly Laughs (1 Hour Special) (Remastered);FILLER;FILLER
185;The Murdered Famous Detective (Part 1);FILLER;FILLER
186;The Murdered Famous Detective (Part 2);FILLER;FILLER
187;The Unknown Gunshot That Rings in the Dark;FILLER;FILLER
188;The Desperate Revival - The Cavern of the Detective Boys;MAIN PLOT;"""The Desperate Revival"""
189;The Desperate Revival - The Wounded Great Detective;MAIN PLOT;"""The Desperate Revival"""
190;The Desperate Revival - The Third Choice;MAIN PLOT;"""The Desperate Revival"""
191;The Desperate Revival - The Black Knight;MAIN PLOT;"""The Desperate Revival"""
192;The Desperate Revival - Shinichi's Return;MAIN PLOT;"""The Desperate Revival"""
193;The Desperate Revival - The Promised Place;MAIN PLOT;"""The Desperate Revival"""
194;The Significant Music Box (Part 1);FILLER;FILLER
195;The Significant Music Box (Part 2);FILLER;FILLER
196;The Invisible Weapon, Ran's First Investigation;FILLER;FILLER
197;The Super Car's Trap (Part 1);FILLER;FILLER
198;The Super Car's Trap (Part 2);FILLER;FILLER
199;Kogoro Mouri, Suspect (Part 1);MANGA CANON;Character development.
200;Kogoro Mouri, Suspect (Part 2) (Remastered);MANGA CANON;Character development.
201;The Tenth Passenger (Part 1);FILLER;FILLER
202;The Tenth Passenger (Part 2);FILLER;FILLER
203;The Black Wings of Icarus (Part 1);FILLER;FILLER
204;The Black Wings of Icarus (Part 2);FILLER;FILLER
205;Metropolitan Police Detective Love Story 3 (Part 1);MANGA CANON;"""Metropolitan Police Detective Love Story 3"""
206;Metropolitan Police Detective Love Story 3 (Part 2);MANGA CANON;"""Metropolitan Police Detective Love Story 3"""
207;The Deduction That Was Too Good;FILLER;FILLER
208;The Entrance to the Maze: The Anger of the Colossus (1 Hour Special) (Rerun);FILLER;FILLER
209;The Falling from Mt. Ryujin Case;FILLER;FILLER
210;The Water Palace of Five Colors Legend (Part 1);FILLER;FILLER
211;The Water Palace of Five Colors Legend (Part 2);FILLER;FILLER
212;Mushrooms, Bears, and the Detective Boys (Part 1);MANGA CANON;Haibara development.
213;Mushrooms, Bears, and the Detective Boys (Part 2);MANGA CANON;Haibara development.
214;The Mysterious Retro Room Case;FILLER;FILLER
215;The Bay of Revenge (Part 1);FILLER;FILLER
216;The Bay of Revenge (Part 2);FILLER;FILLER
217;Megure's Sealed Secret (Part 1);MANGA CANON;Megure development.
218;Megure's Sealed Secret (Part 2) (Remastered);MANGA CANON;Megure development.
219;The Gathering of the Detectives! Shinichi Kudo vs. Kaitou Kid (2 Hour Special);MAIN PLOT;Kaitō Kid and background information relevant to the main plot. (2 Hour Special)
220;The Client Full of Lies (Part 1) (Remastered);MANGA CANON;Introduces Heiji's mother.
221;The Client Full of Lies (Part 2);MANGA CANON;Introduces Heiji's mother.
222;And Then There Were No Mermaids (The Case);MANGA CANON;Heiji case. Some Conan development.
223;And Then There Were No Mermaids (The Deduction);MANGA CANON;Heiji case. Some Conan development.
224;And Then There Were No Mermaids (The Resolution);MANGA CANON;Heiji case. Some Conan development.
225;The Secret of the High Sales;FILLER;FILLER
226;The Battle Game Trap (Part 1);MAIN PLOT;Introduces Jodie Saintemillion.
227;The Battle Game Trap (Part 2);MAIN PLOT;Introduces Jodie Saintemillion.
228;The Murderous Pottery Class (Part 1);FILLER;FILLER
229;The Murderous Pottery Class (Part 2);FILLER;FILLER
230;The Mysterious Passenger (Part 1);MAIN PLOT;Introduces Akai Shuuichi, gives Jodie-sensei and Araide-sensei development, and some Black Organization information.
231;The Mysterious Passenger (Part 2);MAIN PLOT;Introduces Akai Shuuichi, gives Jodie-sensei and Araide-sensei development, and some Black Organization information.
232;The Falling from the Condo Case;FILLER;FILLER
233;The Evidence That Didn't Disappear (Part 1);FILLER;FILLER
234;The Evidence That Didn't Disappear (Part 2);FILLER;FILLER
235;The Locked Wine Cellar;FILLER;FILLER
236;The Nanki Shirahama Mystery Tour (Part 1);FILLER;FILLER
237;The Nanki Shirahama Mystery Tour (Part 2);FILLER;FILLER
238;"The 3 ""K""s of Osaka Case (Part 1)";MANGA CANON;Heiji case. Conan development.
239;"The 3 ""K""s of Osaka Case (Part 2)";MANGA CANON;Heiji case. Conan development.
240;The Shinkansen Transport Case (Part 1);MANGA CANON;Character development.
241;The Shinkansen Transport Case (Part 2);MANGA CANON;Character development.
242;Boy Genta's Misfortune;MANGA CANON;Some Haibara development and very minor Black Organization info.
243;Kogoro Mouri's Imposter (Part 1);FILLER;FILLER
244;Kogoro Mouri's Imposter (Part 2);FILLER;FILLER
245;The Gunshot at the Sunflower Estate;FILLER;FILLER
246;The Mystery in the Net (Part 1);MANGA CANON;Haibara development.
247;The Mystery in the Net (Part 2);MANGA CANON;Haibara development.
248;The Alibi of the Soothing Forest;FILLER;FILLER
249;The Celebrities' Secret (Part 1);FILLER;FILLER
250;The Celebrities' Secret (Part 2);FILLER;FILLER
251;The Tragedy at the OK Corral;FILLER;FILLER
252;The Kidnapper in the Picture;FILLER;FILLER
253;Metropolitan Police Detective Love Story 4 (Part 1);MANGA CANON;"""Metropolitan Police Detective Love Story 4"""
254;Metropolitan Police Detective Love Story 4 (Part 2);MANGA CANON;"""Metropolitan Police Detective Love Story 4"""
255;The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 1);FILLER;FILLER
256;The 14th Round of the Matsue Tamatsukuri Linked Verse Contest (Part 2);FILLER;FILLER
257;The Mysterious Punishment From Heaven;FILLER;FILLER
258;The Man from Chicago (Part 1) (Remastered);MAIN PLOT;Introduces James Black. Also, some Shuuichi development.
259;The Man from Chicago (Part 2) (Remastered);MAIN PLOT;Introduces James Black. Also, some Shuuichi development.
260;The Shaking Restaurant;FILLER;FILLER
261;The Fearful Legend of the Snowy Night (Part 1);FILLER;FILLER
262;The Fearful Legend of the Snowy Night (Part 2);FILLER;FILLER
263;The Osaka Double Mystery - The Naniwa Swordsman and Toyotomi's Castle (2 Hour Special);MANGA CANON;Heiji case. (2 Hour Special)
264;Courtroom Confrontation: Kisaki vs. Kogoro (Part 1);FILLER;FILLER
265;Courtroom Confrontation: Kisaki vs. Kogoro (Part 2);FILLER;FILLER
266;The Truth Behind Valentine's (The Case);MAIN PLOT;Some Makoto development. Plus more Shuuichi.
267;The Truth Behind Valentine's (The Deduction);MAIN PLOT;Some Makoto development. Plus more Shuuichi.
268;The Truth Behind Valentine's (The Resolution);MAIN PLOT;Some Makoto development. Plus more Shuuichi.
269;The Forgotten Memento from the Crime (Part 1);MAIN PLOT;Some Black Organization info and some Jodie development. Also, more Shuuichi.
270;The Forgotten Memento from the Crime (Part 2);MAIN PLOT;Some Black Organization info and some Jodie development. Also, more Shuuichi.
271;The Secret Rushed Omission (Part 1);MAIN PLOT;Some Black Organization info and some Jodie development. Also, more Shuuichi.
272;The Secret Rushed Omission (Part 2);MAIN PLOT;Some Black Organization info and some Jodie development. Also, more Shuuichi.
273;Riddle Granny Disappearance Case;FILLER;FILLER
274;The Truth of the Haunted House (Part 1);FILLER;FILLER
275;The Truth of the Haunted House (Part 2);FILLER;FILLER
276;The Policeman's Missing Notebook Case;FILLER;FILLER
277;English Teacher vs. Great Western Detective (Part 1);MAIN PLOT;Lots of Heiji and Jodie.
278;English Teacher vs. Great Western Detective (Part 2);MAIN PLOT;Lots of Heiji and Jodie.
279;Hooligan's Labyrinth (Part 1) (Remastered);MAIN PLOT;Haibara development and some Black Organization clues.
280;Hooligan's Labyrinth (Part 2) (Remastered);MAIN PLOT;Haibara development and some Black Organization clues.
